"filename", "language", "JSON with Comments", "JavaScript", "JSON", "Markdown", "XML", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\signup\page.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 2, 14, 44
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\signup\signup.js", "JavaScript", 0, 115, 0, 0, 0, 0, 0, 1, 29, 145
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\subscribe\page.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\subscribe\subscriptionCard.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 0, 6, 48
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\subscribe\subscriptions.js", "JavaScript", 0, 96, 0, 0, 0, 0, 0, 1, 8, 105
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\subscribe\success\page.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\subscribe\success\success.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 8, 22
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\template.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 9, 48
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\terms-and-conditions\page.js", "JavaScript", 0, 141, 0, 0, 0, 0, 0, 0, 2, 143
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\verifySignIn.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\components\infobar\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 102, 0, 2, 10, 114
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\components\sidebar\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 60, 0, 0, 4, 64
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\components\theme-provider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 5, 0, 0, 3, 8
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\components\theme-toggle\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 36, 0, 0, 5, 41
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\components\ui\accordion.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 35, 0, 0, 9, 44
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\components\ui\avatar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 7, 36
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\components\ui\button.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 43, 0, 0, 5, 48
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\components\ui\calendar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 59, 0, 0, 4, 63
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\components\ui\card.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 42, 0, 0, 9, 51
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\components\ui\checkbox.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 5, 25
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\components\ui\dialog.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 83, 0, 0, 14, 97
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\components\ui\drawer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 79, 0, 0, 14, 93
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\components\ui\dropdown-menu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 139, 0, 0, 19, 158
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\components\ui\form.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 111, 0, 0, 23, 134
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\components\ui\infinite-moving-cards.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 106, 0, 0, 6, 112
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\components\ui\input.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 4, 20
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\components\ui\label.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 6, 19
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\components\ui\navigation-menu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 93, 0, 0, 12, 105
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\components\ui\popover.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 7, 28
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\components\ui\scroll-area-horizontal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\components\ui\scroll-area.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 35, 0, 0, 6, 41
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\components\ui\separator.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 5, 26
