Date : 2024-07-04 10:01:38
Directory : f:\manus-unitas
Total : 148 files,  10056 codes, 472 comments, 1592 blanks, all 12120 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| f:\manus-unitas\src\app\(main)\(pages)\people\_components\editUserForm.jsx                        | JavaScript JSX     |        188 |          0 |         16 |        204 |
| f:\manus-unitas\src\app\(main)\(pages)\people\_components\newUserForm.jsx                         | JavaScript JSX     |        190 |         17 |         20 |        227 |
| f:\manus-unitas\src\app\(main)\(pages)\people\page.js                                             | JavaScript         |        505 |         12 |         82 |        599 |
| f:\manus-unitas\src\app\(main)\(pages)\people\people.js                                           | JavaScript         |        217 |          1 |         16 |        234 |
| f:\manus-unitas\src\app\(main)\(pages)\settings\billing\billingPortal.js                          | JavaScript         |         10 |          0 |          4 |         14 |
| f:\manus-unitas\src\app\(main)\(pages)\settings\billing\page.js                                   | JavaScript         |         34 |          0 |          4 |         38 |
| f:\manus-unitas\src\app\(main)\(pages)\settings\notifications\page.js                             | JavaScript         |         87 |          0 |         12 |         99 |
| f:\manus-unitas\src\app\(main)\(pages)\settings\organization\_components\editOrganizationForm.jsx | JavaScript JSX     |        251 |          1 |         19 |        271 |
| f:\manus-unitas\src\app\(main)\(pages)\settings\organization\organization.js                      | JavaScript         |         36 |          0 |         11 |         47 |
| f:\manus-unitas\src\app\(main)\(pages)\settings\organization\page.js                              | JavaScript         |         22 |          0 |          3 |         25 |
| f:\manus-unitas\src\app\(main)\(pages)\settings\page.js                                           | JavaScript         |         80 |          0 |         11 |         91 |
| f:\manus-unitas\src\app\(main)\(pages)\settings\profile\_components\editUserForm.jsx              | JavaScript JSX     |        133 |          1 |         15 |        149 |
| f:\manus-unitas\src\app\(main)\(pages)\settings\profile\_components\updatePasswordForm.jsx        | JavaScript JSX     |        122 |          1 |         12 |        135 |
| f:\manus-unitas\src\app\(main)\(pages)\settings\profile\page.js                                   | JavaScript         |         41 |          0 |         10 |         51 |
| f:\manus-unitas\src\app\(main)\(pages)\settings\profile\profile.js                                | JavaScript         |         62 |          0 |          7 |         69 |
| f:\manus-unitas\src\app\(main)\(pages)\settings\roles\newRoleBtn.js                               | JavaScript         |         13 |          0 |          3 |         16 |
| f:\manus-unitas\src\app\(main)\(pages)\settings\roles\page.js                                     | JavaScript         |         75 |          0 |          9 |         84 |
| f:\manus-unitas\src\app\(main)\(pages)\settings\security\page.js                                  | JavaScript         |         11 |          0 |          1 |         12 |
| f:\manus-unitas\src\app\(main)\(pages)\settings\security\security.js                              | JavaScript         |        206 |          0 |         14 |        220 |
| f:\manus-unitas\src\app\(main)\incrementTime.js                                                   | JavaScript         |          8 |          0 |          2 |         10 |
| f:\manus-unitas\src\app\(main)\layout.js                                                          | JavaScript         |         69 |          0 |          6 |         75 |
| f:\manus-unitas\src\app\2fa\disable.js                                                            | JavaScript         |         10 |          0 |          4 |         14 |
| f:\manus-unitas\src\app\2fa\qrcode.js                                                             | JavaScript         |         13 |          0 |          2 |         15 |
| f:\manus-unitas\src\app\2fa\verify.js                                                             | JavaScript         |         22 |          1 |         10 |         33 |
| f:\manus-unitas\src\app\actions.js                                                                | JavaScript         |        158 |          0 |         39 |        197 |
| f:\manus-unitas\src\app\api\auth\[...nextauth]\options.js                                         | JavaScript         |         82 |          4 |          2 |         88 |
| f:\manus-unitas\src\app\api\auth\[...nextauth]\route.js                                           | JavaScript         |          4 |          0 |          3 |          7 |
| f:\manus-unitas\src\app\api\createPaymentIntent\route.js                                          | JavaScript         |         22 |          0 |          4 |         26 |
| f:\manus-unitas\src\app\api\endTutorial\route.js                                                  | JavaScript         |         15 |          0 |          6 |         21 |
| f:\manus-unitas\src\app\api\events\[id]\route.js                                                  | JavaScript         |         10 |          0 |          3 |         13 |
| f:\manus-unitas\src\app\api\events\route.js                                                       | JavaScript         |          6 |          0 |          2 |          8 |
| f:\manus-unitas\src\app\api\getOrgMembers\route.js                                                | JavaScript         |          9 |          0 |          2 |         11 |
| f:\manus-unitas\src\app\api\remind\route.js                                                       | JavaScript         |        502 |         20 |         84 |        606 |
| f:\manus-unitas\src\app\api\users\[...id]\route.js                                                | JavaScript         |          8 |          3 |          2 |         13 |
| f:\manus-unitas\src\app\api\webhooks\stripe\route.js                                              | JavaScript         |        143 |        101 |         24 |        268 |
| f:\manus-unitas\src\app\checkout\[id]\checkoutForm.js                                             | JavaScript         |         98 |          2 |         25 |        125 |
| f:\manus-unitas\src\app\checkout\[id]\page.js                                                     | JavaScript         |         50 |          0 |         14 |         64 |
| f:\manus-unitas\src\app\completion\completion.js                                                  | JavaScript         |         33 |          0 |          9 |         42 |
| f:\manus-unitas\src\app\completion\page.js                                                        | JavaScript         |         10 |          0 |          3 |         13 |
| f:\manus-unitas\src\app\components\Footer.js                                                      | JavaScript         |         21 |          6 |          2 |         29 |
| f:\manus-unitas\src\app\components\TransitionLink.js                                              | JavaScript         |         17 |          0 |          8 |         25 |
| f:\manus-unitas\src\app\contact\page.js                                                           | JavaScript         |         50 |          7 |         10 |         67 |
| f:\manus-unitas\src\app\globals.css                                                               | CSS                |         53 |         29 |         13 |         95 |
| f:\manus-unitas\src\app\icon.svg                                                                  | XML                |          1 |          0 |          0 |          1 |
| f:\manus-unitas\src\app\layout.js                                                                 | JavaScript         |         45 |          6 |         14 |         65 |
| f:\manus-unitas\src\app\loading.js                                                                | JavaScript         |          8 |          0 |          4 |         12 |
| f:\manus-unitas\src\app\mail.js                                                                   | JavaScript         |         75 |          2 |         11 |         88 |
| f:\manus-unitas\src\app\organization-details\OrganizationForm.js                                  | JavaScript         |        166 |          0 |         16 |        182 |
| f:\manus-unitas\src\app\organization-details\page.js                                              | JavaScript         |         42 |          0 |         11 |         53 |
| f:\manus-unitas\src\app\page.js                                                                   | JavaScript         |        270 |         35 |         66 |        371 |
| f:\manus-unitas\src\app\privacy-policy\page.js                                                    | JavaScript         |        199 |          0 |          2 |        201 |
| f:\manus-unitas\src\app\providers.js                                                              | JavaScript         |         25 |          0 |          5 |         30 |
| f:\manus-unitas\src\app\set-password\page.js                                                      | JavaScript         |         30 |          0 |          7 |         37 |
| f:\manus-unitas\src\app\set-password\passwordForm.js                                              | JavaScript         |         65 |          0 |         13 |         78 |
| f:\manus-unitas\src\app\signin\getUser.js                                                         | JavaScript         |          6 |          0 |          2 |          8 |
| f:\manus-unitas\src\app\signin\page.js                                                            | JavaScript         |        150 |          3 |         30 |        183 |
| f:\manus-unitas\src\app\signup\admin\adminSignUp.js                                               | JavaScript         |        221 |          0 |         22 |        243 |
| f:\manus-unitas\src\app\signup\admin\page.js                                                      | JavaScript         |         27 |          1 |          9 |         37 |
| f:\manus-unitas\src\app\signup\page.js                                                            | JavaScript         |         28 |          2 |         14 |         44 |
| f:\manus-unitas\src\app\signup\signup.js                                                          | JavaScript         |        115 |          1 |         29 |        145 |
| f:\manus-unitas\src\app\store.js                                                                  | JavaScript         |          7 |          0 |          2 |          9 |
| f:\manus-unitas\src\app\subscribe\page.js                                                         | JavaScript         |         12 |          0 |          3 |         15 |
| f:\manus-unitas\src\app\subscribe\subscriptionCard.js                                             | JavaScript         |         42 |          0 |          6 |         48 |
| f:\manus-unitas\src\app\subscribe\subscriptions.js                                                | JavaScript         |         96 |          1 |          8 |        105 |
| f:\manus-unitas\src\app\subscribe\success\page.js                                                 | JavaScript         |          9 |          0 |          2 |         11 |
